VARIABLES="Frequency (rad/s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Excitation force - beta =   0.000 deg",I=    50,F=POINT
 1.3408  0.111836E+05  0.137931E+02  0.723661E+04  0.928667E+02  0.753892E+05  0.282087E+02   90.02   90.81    0.71  -89.20   90.04 -179.33
 1.3796  0.118020E+05  0.145490E+02  0.714558E+04  0.979381E+02  0.795837E+05  0.281025E+02   90.02   90.70    0.81  -89.32   90.03 -179.26
 1.4184  0.124352E+05  0.153866E+02  0.705381E+04  0.103566E+03  0.838804E+05  0.279920E+02   90.02   90.62    0.92  -89.38   90.03 -179.18
 1.4571  0.130829E+05  0.157681E+02  0.696138E+04  0.106113E+03  0.882782E+05  0.278771E+02   90.03   90.66    1.04  -89.36   90.04 -179.09
 1.4959  0.137470E+05  0.161376E+02  0.686849E+04  0.108575E+03  0.927900E+05  0.277573E+02   90.04   90.47    1.17  -89.55   90.05 -179.00
 1.5347  0.144203E+05  0.167655E+02  0.677571E+04  0.112786E+03  0.973680E+05  0.276339E+02   90.05   90.30    1.30  -89.74   90.07 -178.91
 1.5735  0.151076E+05  0.177144E+02  0.668265E+04  0.119159E+03  0.102043E+06  0.275046E+02   90.07   90.13    1.45  -89.91   90.09 -178.82
 1.6122  0.158072E+05  0.184320E+02  0.658979E+04  0.123966E+03  0.106805E+06  0.273702E+02   90.10   90.13    1.60  -89.91   90.11 -178.73
 1.6510  0.165217E+05  0.184897E+02  0.649673E+04  0.124320E+03  0.111670E+06  0.272286E+02   90.13   89.97    1.75  -90.06   90.14 -178.63
 1.6898  0.172474E+05  0.188559E+02  0.640441E+04  0.126759E+03  0.116615E+06  0.270812E+02   90.16   89.74    1.92  -90.30   90.18 -178.54
 1.7286  0.179792E+05  0.196192E+02  0.631302E+04  0.131887E+03  0.121604E+06  0.269280E+02   90.20   89.41    2.08  -90.62   90.22 -178.44
 1.7673  0.187225E+05  0.206495E+02  0.622211E+04  0.138795E+03  0.126675E+06  0.267666E+02   90.24   89.22    2.26  -90.82   90.26 -178.34
 1.8061  0.194755E+05  0.214000E+02  0.613240E+04  0.143826E+03  0.131814E+06  0.265986E+02   90.28   89.13    2.43  -90.90   90.30 -178.25
 1.8449  0.202401E+05  0.213136E+02  0.604314E+04  0.143212E+03  0.137035E+06  0.264206E+02   90.33   89.16    2.61  -90.89   90.35 -178.15
 1.8837  0.210144E+05  0.214561E+02  0.595513E+04  0.144121E+03  0.142325E+06  0.262333E+02   90.38   88.62    2.80  -91.42   90.40 -178.05
 1.9224  0.217869E+05  0.221498E+02  0.586968E+04  0.148775E+03  0.147607E+06  0.260391E+02   90.44   88.34    2.98  -91.71   90.46 -177.96
 1.9612  0.225665E+05  0.231248E+02  0.578549E+04  0.155316E+03  0.152940E+06  0.258333E+02   90.49   87.80    3.16  -92.25   90.51 -177.87
 2.0000  0.233503E+05  0.241520E+02  0.570337E+04  0.162208E+03  0.158304E+06  0.256176E+02   90.55   87.67    3.34  -92.38   90.57 -177.79
