2 1
1 -5.6 0	0
2 0 0	0
3 0 5.6	0
4 5.6 0	0
5 -5.6 0	-5.4
6 0 0	-5.4
7 0 5.6	-5.4
8 5.6 0	-5.4
9 -9 0	-13.4
10 0 9	-13.4
11 0 0	-13.4
12 9 0	-13.4
13 0 0	-91.4
14 -9 0	-91.4
15 0 9	-91.4
16 9 0	-91.4
17 -1.46532e-11 0	0
18 -2.8 0	0
19 2.8 0	0
20 3.9598 3.9598	0
21 2.14303 5.17373	0
22 5.17373 2.14303	0
23 -3.9598 3.9598	0
24 -5.17373 2.14303	0
25 -2.14303 5.17373	0
26 -5.6 0	-2.7
27 -5.6 0	-4.05
28 -5.6 0	-1.35
29 -3.9598 3.9598	-5.4
30 -5.17373 2.14303	-5.4
31 -2.14303 5.17373	-5.4
32 0 5.6	-2.7
33 0 5.6	-4.05
34 0 5.6	-1.35
35 5.6 0	-2.7
36 5.6 0	-4.05
37 5.6 0	-1.35
38 3.9598 3.9598	-5.4
39 5.17373 2.14303	-5.4
40 2.14303 5.17373	-5.4
41 -7.3 0	-9.4
42 -6.45 0	-7.4
43 -8.15 0	-11.4
44 -8.31492 3.44415	-13.4
45 -6.36396 6.36396	-13.4
46 -3.44415 8.31492	-13.4
47 -5.00013 7.48323	-13.4
48 -7.48323 5.00013	-13.4
49 -8.82707 1.75581	-13.4
50 -1.75581 8.82707	-13.4
51 0 7.3	-9.4
52 0 6.45	-7.4
53 0 8.15	-11.4
54 7.3 0	-9.4
55 8.15 0	-11.4
56 6.45 0	-7.4
57 8.31492 3.44415	-13.4
58 6.36396 6.36396	-13.4
59 3.44415 8.31492	-13.4
60 5.00013 7.48323	-13.4
61 7.48323 5.00013	-13.4
62 8.82707 1.75581	-13.4
63 1.75581 8.82707	-13.4
64 -9 0	-18.9714
65 -9 0	-24.5429
66 -9 0	-30.1143
67 -9 0	-35.6857
68 -9 0	-41.2571
69 -9 0	-46.8286
70 -9 0	-52.4
71 -9 0	-57.9714
72 -9 0	-63.5429
73 -9 0	-69.1143
74 -9 0	-74.6857
75 -9 0	-80.2571
76 -9 0	-85.8286
77 -9 0	-71.9
78 -9 0	-44.0429
79 -9 0	-66.3286
80 -9 0	-77.4714
81 -9 0	-38.4714
82 -9 0	-49.6143
83 -9 0	-27.3286
84 -9 0	-83.0429
85 -9 0	-60.7571
86 -9 0	-21.7571
87 -9 0	-55.1857
88 -9 0	-32.9
89 -9 0	-88.6143
90 -9 0	-16.1857
91 -8.31492 3.44415	-91.4
92 -6.36396 6.36396	-91.4
93 -3.44415 8.31492	-91.4
94 -1.75581 8.82707	-91.4
95 -8.82707 1.75581	-91.4
96 -5.00013 7.48323	-91.4
97 -7.48323 5.00013	-91.4
98 0 9	-85.8286
99 0 9	-80.2571
100 0 9	-74.6857
101 0 9	-69.1143
102 0 9	-63.5429
103 0 9	-57.9714
104 0 9	-52.4
105 0 9	-46.8286
106 0 9	-41.2571
107 0 9	-35.6857
108 0 9	-30.1143
109 0 9	-24.5429
110 0 9	-18.9714
111 0 9	-55.1857
112 0 9	-21.7571
113 0 9	-32.9
114 0 9	-60.7571
115 0 9	-49.6143
116 0 9	-38.4714
117 0 9	-71.9
118 0 9	-83.0429
119 0 9	-27.3286
120 0 9	-44.0429
121 0 9	-66.3286
122 0 9	-77.4714
123 0 9	-16.1857
124 0 9	-88.6143
125 8.31492 3.44415	-91.4
126 6.36396 6.36396	-91.4
127 3.44415 8.31492	-91.4
128 8.82707 1.75581	-91.4
129 1.75581 8.82707	-91.4
130 7.48323 5.00013	-91.4
131 5.00013 7.48323	-91.4
132 9 0	-18.9714
133 9 0	-24.5429
134 9 0	-30.1143
135 9 0	-35.6857
136 9 0	-41.2571
137 9 0	-46.8286
138 9 0	-52.4
139 9 0	-57.9714
140 9 0	-63.5429
141 9 0	-69.1143
142 9 0	-74.6857
143 9 0	-80.2571
144 9 0	-85.8286
145 9 0	-71.9
146 9 0	-49.6143
147 9 0	-66.3286
148 9 0	-77.4714
149 9 0	-55.1857
150 9 0	-44.0429
151 9 0	-83.0429
152 9 0	-27.3286
