Nb de frequency :    50
 0.1000
  0.690178E+04 -0.111654E+02  0.375148E+01  0.758363E+02  0.470073E+05 -0.424156E-01
  0.102551E+02  0.687971E+04 -0.119021E+00 -0.468593E+05  0.696625E+02 -0.165123E-02
 -0.590821E+00  0.116382E-01  0.164705E+03 -0.781441E-01 -0.405545E+01 -0.257452E+00
 -0.722477E+02 -0.471776E+05  0.833686E+00  0.321506E+06 -0.490800E+03  0.113163E-01
  0.473335E+05 -0.786434E+02  0.264435E+02  0.534085E+03  0.322552E+06 -0.293421E+00
  0.949617E-01  0.253440E-02  0.174492E+01 -0.171107E-01  0.641317E+00 -0.678166E-02
 0.1388
  0.690063E+04 -0.111742E+02  0.377309E+01  0.758926E+02  0.469993E+05 -0.424546E-01
  0.102455E+02  0.687855E+04 -0.113953E+00 -0.468512E+05  0.696008E+02 -0.167102E-02
 -0.592905E+00  0.113816E-01  0.165186E+03 -0.767708E-01 -0.407004E+01 -0.258873E+00
 -0.721738E+02 -0.471698E+05  0.797404E+00  0.321451E+06 -0.490291E+03  0.114505E-01
  0.473258E+05 -0.787088E+02  0.265973E+02  0.534530E+03  0.322498E+06 -0.293710E+00
  0.949869E-01  0.265055E-02  0.175601E+01 -0.179293E-01  0.641498E+00 -0.681206E-02
 0.1776
  0.689925E+04 -0.111785E+02  0.380114E+01  0.759226E+02  0.469897E+05 -0.425363E-01
  0.102327E+02  0.687715E+04 -0.121628E+00 -0.468414E+05  0.695150E+02 -0.164172E-02
 -0.595036E+00  0.116339E-01  0.165659E+03 -0.793266E-01 -0.408505E+01 -0.260252E+00
 -0.720946E+02 -0.471604E+05  0.852636E+00  0.321386E+06 -0.489725E+03  0.112453E-01
  0.473167E+05 -0.787355E+02  0.267934E+02  0.534702E+03  0.322434E+06 -0.294282E+00
  0.950211E-01  0.256370E-02  0.176748E+01 -0.173023E-01  0.641718E+00 -0.684534E-02
 0.2163
  0.689752E+04 -0.111624E+02  0.382689E+01  0.758121E+02  0.469777E+05 -0.425751E-01
  0.102222E+02  0.687538E+04 -0.122026E+00 -0.468292E+05  0.694429E+02 -0.163898E-02
 -0.597120E+00  0.116282E-01  0.166100E+03 -0.791130E-01 -0.409832E+01 -0.261439E+00
 -0.720203E+02 -0.471486E+05  0.854955E+00  0.321304E+06 -0.489216E+03  0.112376E-01
  0.473051E+05 -0.786253E+02  0.269751E+02  0.533943E+03  0.322354E+06 -0.294579E+00
  0.951028E-01  0.257951E-02  0.177888E+01 -0.174240E-01  0.642245E+00 -0.687175E-02
 0.2551
  0.689600E+04 -0.111699E+02  0.384452E+01  0.758552E+02  0.469671E+05 -0.426152E-01
  0.102149E+02  0.687383E+04 -0.119440E+00 -0.468183E+05  0.693922E+02 -0.164863E-02
