VARIABLES="Frequency (rad/s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Excitation force - beta =   0.000 deg",I=    50,F=POINT
 1.3020  0.976362E+06  0.397223E-01  0.707234E+05  0.802130E+00  0.397246E+07  0.353532E-02  -70.91 -130.11  -23.70   -0.75  -70.91  -31.94
 1.3408  0.950692E+06  0.498331E-01  0.615209E+05  0.287855E+00  0.392485E+07  0.709888E-02  -70.24  109.59  -25.93 -123.47  -70.24   32.72
 1.3796  0.920624E+06  0.108081E+00  0.533398E+05  0.542050E+00  0.385693E+07  0.291556E-02  -69.83   91.68  -28.28   -5.19  -69.83  -94.05
 1.4184  0.887280E+06  0.189580E-01  0.460842E+05  0.124181E+00  0.377239E+07  0.417847E-02  -69.68 -136.39  -30.76  164.04  -69.68  -10.13
 1.4571  0.851687E+06  0.263241E-01  0.396788E+05  0.421800E+00  0.367485E+07  0.232929E-02  -69.82 -144.45  -33.36  175.72  -69.82   68.29
 1.4959  0.814770E+06  0.405253E-01  0.340519E+05  0.196317E+00  0.356773E+07  0.267107E-02  -70.24   10.29  -36.07   81.37  -70.25 -115.61
 1.5347  0.777296E+06  0.506837E-01  0.291258E+05  0.377270E+00  0.345401E+07  0.145927E-02  -70.95  104.10  -38.89  166.16  -70.95   63.50
 1.5735  0.739905E+06  0.112943E+00  0.248254E+05  0.923502E+00  0.333623E+07  0.800475E-02  -71.92  -68.86  -41.83 -166.38  -71.92   78.30
 1.6122  0.703068E+06  0.350317E-02  0.210829E+05  0.110049E+01  0.321640E+07  0.205038E-02  -73.15  162.29  -44.89 -165.18  -73.16  116.51
 1.6510  0.667156E+06  0.112640E+00  0.178396E+05  0.401725E+00  0.309622E+07  0.416839E-02  -74.64   83.56  -48.05    8.09  -74.65  136.05
 1.6898  0.632436E+06  0.294233E-01  0.150361E+05  0.257205E+00  0.297700E+07  0.287847E-02  -76.38   42.10  -51.31 -108.22  -76.38    8.07
 1.7286  0.599086E+06  0.102465E-01  0.126178E+05  0.310162E+00  0.285973E+07  0.518101E-02  -78.34   88.09  -54.67  -73.90  -78.34  -84.85
 1.7673  0.567217E+06  0.373935E-01  0.105357E+05  0.238408E+00  0.274514E+07  0.234914E-02  -80.52   87.83  -58.13   83.66  -80.52  -83.39
 1.8061  0.536883E+06  0.196099E-01  0.874598E+04  0.611401E+00  0.263370E+07  0.743053E-02  -82.91  -88.60  -61.67   93.93  -82.91  -95.28
 1.8449  0.508106E+06  0.265447E-01  0.720771E+04  0.270414E+00  0.252580E+07  0.412428E-02  -85.50  -20.94  -65.26  170.85  -85.50  -88.09
 1.8837  0.480874E+06  0.449946E-01  0.588336E+04  0.276107E+00  0.242167E+07  0.635653E-02  -88.28  113.11  -68.92  106.14  -88.28  -92.78
 1.9224  0.455154E+06  0.177093E-01  0.473774E+04  0.192229E+00  0.232142E+07  0.708828E-02  -91.24 -165.87  -72.63   18.53  -91.23   83.14
 1.9612  0.430896E+06  0.144835E-01  0.373429E+04  0.352674E+00  0.222508E+07  0.538216E-02  -94.36  -81.16  -76.38  -23.64  -94.36   82.27
 2.0000  0.408040E+06  0.337313E-01  0.282698E+04  0.540399E-01  0.213265E+07  0.222757E-02  -97.66  -98.90  -80.01  -87.13  -97.66  -80.54
